cluster_id,post_id,latitude,longitude,street_name,street_num,blockface_id,cap_color,schedule_hash
C00007,360-03030,37.7829647,-122.4624382,CLEMENT ST,303,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03050,37.7829628,-122.4624802,CLEMENT ST,305,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03070,37.7829608,-122.4625236,CLEMENT ST,307,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03080,37.7831033,-122.4626547,CLEMENT ST,308,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03090,37.7829587,-122.4625673,CLEMENT ST,309,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03100,37.7831001,-122.4627246,CLEMENT ST,310,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03110,37.7829566,-122.4626144,CLEMENT ST,311,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03120,37.7830965,-122.462803,CLEMENT ST,312,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03130,37.7829547,-122.4626561,CLEMENT ST,313,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03150,37.7829526,-122.4627009,CLEMENT ST,315,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03160,37.7830935,-122.4628673,CLEMENT ST,316,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03180,37.7830903,-122.4629366,CLEMENT ST,318,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03190,37.7829487,-122.4627862,CLEMENT ST,319,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03200,37.7830859,-122.4630342,CLEMENT ST,320,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03210,37.7829468,-122.4628283,CLEMENT ST,321,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03220,37.7830826,-122.4631055,CLEMENT ST,322,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03230,37.7829448,-122.4628703,CLEMENT ST,323,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03240,37.7830788,-122.4631875,CLEMENT ST,324,360032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03250,37.7829429,-122.4629121,CLEMENT ST,325,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03270,37.7829409,-122.4629569,CLEMENT ST,327,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03350,37.7829349,-122.463087,CLEMENT ST,335,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03370,37.7829329,-122.4631304,CLEMENT ST,337,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03390,37.7829312,-122.4631668,CLEMENT ST,339,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03410,37.7829292,-122.4632108,CLEMENT ST,341,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04010,37.7829171,-122.4634709,CLEMENT ST,401,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04020,37.7830626,-122.4635416,CLEMENT ST,402,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04030,37.7829151,-122.4635147,CLEMENT ST,403,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04040,37.7830592,-122.4636164,CLEMENT ST,404,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04050,37.782913,-122.4635602,CLEMENT ST,405,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04060,37.7830557,-122.4636922,CLEMENT ST,406,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04110,37.7829069,-122.4636925,CLEMENT ST,411,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04120,37.7830491,-122.4638375,CLEMENT ST,412,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04130,37.7829049,-122.4637377,CLEMENT ST,413,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04140,37.7830455,-122.4639152,CLEMENT ST,414,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04150,37.782903,-122.4637793,CLEMENT ST,415,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04170,37.7829008,-122.4638263,CLEMENT ST,417,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04180,37.783042,-122.4639909,CLEMENT ST,418,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04190,37.7828986,-122.4638732,CLEMENT ST,419,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04200,37.7830384,-122.4640686,CLEMENT ST,420,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04210,37.7828967,-122.4639149,CLEMENT ST,421,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04220,37.7830348,-122.4641471,CLEMENT ST,422,360042,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-04230,37.7828947,-122.4639596,CLEMENT ST,423,360041,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
